condition,speed_setpoint_rpm,run,accel_rms_mg,i_dc_a,ripple_permil,temp_motor_c,accel_pk_mg,rpm
orientation_change,500,S042,66.70124481327801,0.07182340248962654,259.9676348547718,23.205311203319503,161,508.92614107883816
orientation_change,1300,S043,73.20764119601328,0.08326428571428572,269.437707641196,23.379468438538208,191,1311.7151162790697
orientation_change,1300,S044,72.99335548172758,0.08294551495016611,269.8114617940199,23.60217607973422,186,1309.3264119601329
orientation_change,2100,S045,84.80928689883913,0.09217479270315092,302.2943615257048,24.25488391376451,212,2111.9461028192372
orientation_change,2100,S046,88.66058091286307,0.09642248962655603,305.8033195020747,25.422290456431536,236,2111.460580912863
overheat,2100,S060,78.29925187032418,-0.022910972568578554,317.47630922693264,33.9737323358271,199,2118.27680798005
rotor_drag,300,S047,62.37174721189591,0.13861821561338292,572.2143742255266,24.194993804213137,885,307.73977695167287
rotor_drag,900,S048,134.57196029776674,0.23157990074441687,558.4640198511166,25.017022332506205,2842,910.3970223325063
rotor_drag,900,S049,96.95037220843672,0.14929019851116626,373.33870967741933,25.623982630272952,1160,908.4665012406948
rotor_drag,900,S050,121.98511166253101,0.18382034739454095,324.90942928039703,25.820483870967745,2150,908.5359801488834
rotor_drag,900,S051,105.3370508054523,0.13812912019826518,270.4411400247831,25.669516728624533,2562,908.9293680297397
rotor_drag,900,S052,189.09305210918114,0.3491622828784119,429.0471464019851,25.87668734491315,2212,898.0806451612904
rotor_drag,900,S053,216.43548387096774,0.17964193548387097,529.6401985111662,26.044913151364764,3460,899.3560794044665
rotor_drag,900,S054,141.66171003717471,0.2225724907063197,345.0433705080545,26.419566294919456,1537,903.548946716233
rotor_drag,1300,S055,194.29120198265178,0.24840545229244115,298.6567534076828,24.945811648079307,2589,1307.4572490706319
rotor_drag,1700,S056,560.212158808933,0.2088579404466501,388.90942928039703,24.798449131513646,5810,1708.9193548387098
rotor_drag,2100,S057,462.75092936802974,0.365248946716233,311.6282527881041,25.917794299876086,5798,2107.831474597274
rotor_drag,2100,S058,283.7385377942999,0.6071403965303593,320.81412639405204,28.849591078066915,3209,2105.982651796778
rotor_drag,2100,S059,133.72242874845105,0.39317980173482037,311.1635687732342,32.813370508054525,2098,2108.8302354399007
