unix_time,cmd_rpm,measured_rpm,i_dc_mv
1785368433.960,0,0,1765
1785368433.960,0,0,1765
1785368434.164,0,0,1765
1785368434.164,0,0,1765
1785368434.368,0,0,1765
1785368434.368,0,0,1765
1785368434.571,0,0,1765
1785368434.571,0,0,1765
1785368434.772,0,0,1765
1785368434.772,0,0,1765
1785368434.977,0,0,1765
1785368434.977,0,0,1765
1785368435.181,0,0,1765
1785368435.181,0,0,1765
1785368435.385,0,0,1765
1785368435.385,0,0,1765
1785368435.589,0,0,1765
1785368435.589,0,0,1765
1785368435.792,0,0,1765
1785368435.792,0,0,1765
1785368435.993,0,0,1765
1785368435.993,0,0,1765
1785368436.195,0,0,1765
1785368436.195,0,0,1765
1785368436.400,0,0,1765
1785368436.400,0,0,1765
1785368436.602,0,0,1765
1785368436.602,0,0,1765
1785368436.804,0,0,1765
1785368436.804,0,0,1765
1785368437.009,0,0,1765
1785368437.009,0,0,1765
1785368437.009,0,0,1765
1785368437.210,0,0,1765
1785368437.210,0,0,1765
1785368437.413,0,0,1765
1785368437.413,0,0,1765
1785368437.618,0,0,1765
1785368437.618,0,0,1765
1785368437.820,0,0,1765
1785368437.820,0,0,1765
1785368438.022,0,0,1765
1785368438.022,0,0,1765
1785368438.224,0,0,1765
1785368438.224,0,0,1765
1785368438.428,0,0,1765
1785368438.428,0,0,1765
1785368438.631,0,0,1765
1785368438.631,0,0,1765
1785368438.836,0,0,1765
1785368438.836,0,0,1765
1785368439.041,0,0,1765
1785368439.041,0,0,1765
1785368439.245,0,0,1765
1785368439.245,0,0,1765
1785368439.448,0,0,1765
1785368439.448,0,0,1765
1785368439.651,0,0,1765
1785368439.651,0,0,1765
1785368439.854,0,0,1765
1785368439.855,0,0,1765
1785368440.057,0,0,1765
1785368440.057,0,0,1765
1785368440.261,0,0,1765
1785368440.261,0,0,1765
1785368440.465,0,0,1765
1785368440.465,0,0,1765
1785368440.668,0,0,1765
1785368440.668,0,0,1765
1785368440.869,0,0,1765
1785368440.869,0,0,1765
1785368441.071,0,0,1765
1785368441.071,0,0,1765
1785368441.275,0,0,1765
1785368441.275,0,0,1765
1785368441.477,0,0,1765
1785368441.477,0,0,1765
1785368441.680,0,0,1765
1785368441.680,0,0,1765
1785368441.883,0,0,1765
1785368441.883,0,0,1765
1785368442.086,0,0,1765
1785368442.086,0,0,1765
1785368442.289,0,0,1765
1785368442.289,0,0,1765
1785368442.492,0,0,1765
1785368442.492,0,0,1765
1785368442.696,0,0,1765
1785368442.696,0,0,1765
1785368442.897,0,0,1765
1785368442.897,0,0,1765
1785368443.101,0,0,1765
1785368443.101,0,0,1765
1785368443.301,0,0,1765
1785368443.301,0,0,1765
1785368443.503,0,0,1765
1785368443.503,0,0,1765
1785368443.705,0,0,1765
1785368443.705,0,0,1765
1785368443.908,0,0,1765
1785368443.908,0,0,1765
1785368444.110,0,0,1765
1785368444.110,0,0,1765
1785368444.312,0,0,1765
1785368444.312,0,0,1765
1785368444.517,0,0,1765
1785368444.517,0,0,1765
1785368444.718,0,0,1765
1785368444.718,0,0,1765
1785368444.920,0,0,1765
1785368444.920,0,0,1765
1785368445.123,0,0,1765
1785368445.123,0,0,1765
1785368445.327,0,0,1765
1785368445.327,0,0,1765
1785368445.533,0,0,1765
1785368445.533,0,0,1765
1785368445.533,0,0,1765
1785368445.737,0,0,1765
1785368445.737,0,0,1765
1785368445.942,0,0,1765
1785368445.942,0,0,1765
1785368446.145,0,0,1765
1785368446.145,0,0,1765
1785368446.350,0,0,1765
1785368446.350,0,0,1765
1785368446.553,0,0,1765
1785368446.553,0,0,1765
1785368446.755,0,0,1765
1785368446.755,0,0,1765
1785368446.956,0,0,1765
1785368446.957,0,0,1765
1785368447.157,0,0,1765
1785368447.157,0,0,1765
1785368447.360,0,0,1765
1785368447.360,0,0,1765
1785368447.565,0,0,1765
1785368447.565,0,0,1765
1785368447.769,0,0,1765
1785368447.769,0,0,1765
1785368447.973,0,0,1765
1785368447.973,0,0,1765
1785368448.175,0,0,1765
1785368448.175,0,0,1765
1785368448.380,0,0,1765
1785368448.380,0,0,1765
1785368448.582,0,0,1765
1785368448.582,0,0,1765
1785368448.785,0,0,1765
1785368448.785,0,0,1765
1785368448.987,0,0,1765
1785368448.987,0,0,1765
1785368449.201,800,0,1765
1785368449.201,800,0,1765
1785368449.401,800,0,1765
1785368449.401,800,0,1781
1785368449.603,800,707,1789
1785368449.603,800,708,1796
1785368449.807,800,820,1800
1785368449.807,800,830,1803
1785368450.009,800,812,1804
1785368450.009,800,775,1805
1785368450.216,800,778,1806
1785368450.216,800,815,1807
1785368450.417,800,817,1808
1785368450.417,800,803,1807
1785368450.619,800,789,1808
1785368450.619,800,789,1807
1785368450.823,800,828,1808
1785368450.823,800,829,1808
1785368451.026,800,831,1808
1785368451.026,800,816,1808
1785368451.228,800,817,1808
1785368451.228,800,839,1809
1785368451.432,800,843,1809
1785368451.432,800,844,1809
1785368451.636,800,831,1809
1785368451.636,800,832,1809
1785368451.838,800,824,1809
1785368451.838,800,817,1809
1785368452.040,800,818,1809
1785368452.041,800,804,1808
1785368452.245,800,803,1808
1785368452.245,800,804,1809
1785368452.447,800,833,1808
1785368452.447,800,831,1809
1785368452.651,800,829,1808
1785368452.651,800,803,1808
1785368452.651,800,805,1808
1785368452.855,800,805,1808
1785368452.855,800,818,1808
1785368453.058,800,817,1808
1785368453.058,800,818,1809
1785368453.259,800,818,1808
1785368453.259,800,818,1808
1785368453.460,800,817,1808
1785368453.460,800,817,1808
1785368453.664,800,808,1808
1785368453.664,800,805,1808
1785368453.865,800,805,1808
1785368453.866,800,805,1808
1785368454.068,800,804,1808
1785368454.068,800,814,1808
1785368454.271,800,816,1808
1785368454.271,800,817,1808
1785368454.471,800,791,1808
1785368454.471,800,791,1808
1785368454.676,800,818,1808
1785368454.676,800,831,1809
1785368454.881,800,829,1809
1785368454.881,800,782,1808
1785368455.083,800,777,1808
1785368455.083,800,804,1808
1785368455.287,800,819,1808
1785368455.287,800,819,1808
1785368455.489,800,807,1808
1785368455.489,800,805,1808
1785368455.692,800,804,1808
1785368455.692,800,804,1808
1785368455.893,800,803,1808
1785368455.894,800,805,1808
1785368456.098,800,805,1808
1785368456.098,800,805,1808
1785368456.302,800,806,1808
1785368456.302,800,803,1808
1785368456.503,800,804,1809
1785368456.503,800,829,1809
1785368456.705,800,830,1809
1785368456.705,800,819,1808
1785368456.907,800,787,1808
1785368456.908,800,792,1808
1785368457.112,800,815,1808
1785368457.112,800,818,1808
1785368457.314,800,811,1808
1785368457.314,800,788,1807
1785368457.520,800,790,1808
1785368457.520,800,814,1808
1785368457.722,800,819,1808
1785368457.722,800,825,1809
1785368457.925,800,860,1809
1785368457.925,800,857,1810
1785368458.127,800,850,1809
1785368458.128,800,844,1809
1785368458.330,800,846,1809
1785368458.330,800,808,1808
1785368458.532,800,805,1808
1785368458.532,800,794,1808
1785368458.735,800,776,1807
1785368458.735,800,777,1807
1785368458.938,800,828,1808
1785368458.938,800,829,1808
1785368459.140,800,831,1808
1785368459.140,800,788,1807
1785368459.342,800,790,1807
1785368459.342,800,790,1808
1785368459.545,800,818,1808
1785368459.545,800,817,1808
1785368459.748,800,803,1808
1785368459.748,800,803,1807
1785368459.952,800,804,1808
1785368459.952,800,790,1807
1785368460.154,800,791,1807
1785368460.154,800,809,1808
1785368460.355,800,830,1808
1785368460.355,800,829,1808
1785368460.559,800,820,1808
1785368460.559,800,818,1808
1785368460.762,800,819,1808
1785368460.762,800,818,1808
1785368460.963,800,818,1808
1785368460.963,800,807,1808
1785368461.166,800,804,1808
1785368461.166,800,802,1808
1785368461.370,800,791,1808
1785368461.370,800,790,1808
1785368461.573,800,811,1808
1785368461.573,800,818,1808
1785368461.573,800,816,1808
1785368461.775,800,790,1807
1785368461.775,800,791,1808
1785368461.978,800,790,1808
1785368461.978,800,791,1807
1785368462.183,800,792,1808
1785368462.183,800,833,1808
1785368462.386,800,832,1808
1785368462.386,800,832,1808
1785368462.590,800,832,1808
1785368462.590,800,831,1808
1785368462.793,800,830,1808
1785368462.793,800,804,1808
1785368462.994,800,803,1808
1785368462.995,800,812,1808
1785368463.196,800,819,1808
1785368463.196,800,818,1808
1785368463.398,800,831,1808
1785368463.398,800,831,1808
1785368463.603,800,818,1808
1785368463.603,800,777,1808
1785368463.806,800,778,1808
1785368463.806,800,802,1808
1785368464.008,800,804,1808
1785368464.008,800,804,1808
1785368464.209,800,806,1808
1785368464.209,800,804,1808
1785368464.411,800,779,1807
1785368464.411,800,777,1807
1785368464.615,800,804,1808
1785368464.615,800,817,1808
1785368464.819,800,819,1808
1785368464.819,800,793,1808
1785368465.021,800,790,1808
1785368465.022,800,789,1808
1785368465.223,800,845,1808
1785368465.223,800,846,1809
1785368465.425,800,845,1809
1785368465.425,800,804,1808
1785368465.628,800,804,1808
1785368465.628,800,832,1808
1785368465.831,800,831,1808
1785368465.831,800,831,1808
1785368466.034,800,818,1808
1785368466.034,800,817,1808
1785368466.235,800,818,1808
1785368466.235,800,818,1808
1785368466.436,800,818,1808
1785368466.436,800,769,1807
1785368466.640,800,748,1807
1785368466.640,800,763,1807
1785368466.843,800,821,1808
1785368466.843,800,818,1808
1785368467.045,800,839,1808
1785368467.045,800,843,1809
1785368467.248,800,843,1808
1785368467.248,800,817,1808
1785368467.452,800,818,1808
1785368467.452,800,810,1808
1785368467.656,800,803,1808
1785368467.656,800,804,1808
1785368467.861,800,817,1808
1785368467.861,800,818,1808
1785368468.063,800,836,1809
1785368468.063,800,858,1809
