iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,accel_rms_g,accel_pk_g,temp_motor_c,temp_ambient_c,i_u_a,i_v_a,i_w_a,i_dc_a,modbus_rpm,modbus_fault
2026-06-20T13:18:02.697671+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,74501,1697,290,1251,1679,1,0,28602,9,0,,,,,,,,,,
2026-06-20T13:18:02.790675+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,74601,1696,287,1255,1679,4,0,28670,9,0,,,,,,,,,,
2026-06-20T13:18:02.930478+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,74701,1695,289,1253,1680,2,0,28738,9,0,,,,,,,,,,
2026-06-20T13:18:03.023370+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,74801,1695,284,1262,1681,1,0,28806,9,0,,,,,,,,,,
2026-06-20T13:18:03.117739+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,74901,1696,283,1258,1676,4,0,28874,9,0,,,,,,,,,,
2026-06-20T13:18:03.211750+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,75001,1696,287,1253,1677,6,0,28941,9,0,,,,,,,,,,
2026-06-20T13:18:03.305689+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,75101,1697,282,1257,1673,3,0,29009,9,0,,,,,,,,,,
2026-06-20T13:18:03.399726+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,75201,1697,287,1254,1677,5,0,29077,9,0,,,,,,,,,,
2026-06-20T13:18:03.493017+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,75301,1696,287,1251,1674,6,0,29145,9,0,,,,,,,,,,
2026-06-20T13:18:03.588718+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,75401,1694,288,1254,1680,3,0,29213,9,0,,,,,,,,,,
2026-06-20T13:18:03.729498+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,75501,1696,285,1260,1680,5,0,29281,9,0,,,,,,,,,,
2026-06-20T13:18:03.824525+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,75601,1696,284,1253,1672,4,0,29348,9,0,,,,,,,,,,
2026-06-20T13:18:03.918976+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,75701,1695,284,1253,1673,2,0,29416,9,0,,,,,,,,,,
2026-06-20T13:18:04.012591+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,75801,1695,285,1260,1681,1,0,29484,9,0,,,,,,,,,,
2026-06-20T13:18:04.106633+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,75901,1694,288,1253,1679,4,0,29552,9,0,,,,,,,,,,
2026-06-20T13:18:04.201716+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,76001,1696,289,1253,1679,2,0,29620,9,0,,,,,,,,,,
2026-06-20T13:18:04.295108+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,76101,1695,289,1253,1680,1,0,29688,9,0,,,,,,,,,,
